"順位","管理No","合計スコア"
"1","KA020046","765"
"2","CH040398","754"
"3","KA020067","750"
"4","NA030031","745"
"5","KA110125","739"
"6","KA020073","729"
"7","KA070128","728"
"8","KA110071","727"
"9","IB020032","725"
"10","TK150041","722"
"11","CH040348","718"
"12","KA120057","715"
"13","SA130004","714"
"14","IB080070","713"
"15","KA150154","712"
"16","KA020024","712"
"17","YA040066","712"
"18","GU020055","710"
"19","IB080001","706"
"20","IB070019","705"
"21","SA030001","705"
"22","KA010146","704"
"23","KA100019","702"
"24","SA130002","701"
"25","KA080068","700"
"26","CH040096","698"
"27","IB080040","698"
"28","IB050076","697"
"29","SA050011","697"
"30","TC040018","696"
"31","CH040326","696"
"32","IB080099","696"
"33","CH040173","695"
"34","CH040218","695"
"35","CH010022","694"
"36","KA150025","692"
"37","KA020072","692"
"38","YA010015","692"
"39","TK130030","691"
"40","NA030049","691"
"41","IB050071","691"
"42","CH040272","690"
"43","CH040128","687"
"44","IB020024","687"
"45","KA110249","686"
"46","CH040161","685"
"47","KA160049","685"
"48","IB040398","684"
"49","NA030093","683"
"50","TK090003","683"
"51","IB100049","683"
"52","KA110187","681"
"53","IB010006","681"
"54","IB040018","680"
"55","TC030004","680"
"56","KA010051","679"
"57","KA110226","678"
"58","TK090002","678"
"59","KA100004","677"
"60","KA100014","677"
"61","KA110139","676"
"62","CH040300","676"
"63","CH040145","676"
"64","KA110015","676"
"65","GU030275","675"
"66","CH010037","674"
"67","IB050006","673"
"68","IB050029","673"
"69","IB070037","672"
"70","KA140013","671"
"71","CH010042","670"
"72","KA010286","670"
"73","KA020041","670"
"74","KA080006","669"
"75","CH040166","669"
"76","KA110304","669"
"77","GU050019","668"
"78","KA110292","667"
"79","SA020050","666"
"80","NA030045","666"
"81","NA060092","666"
"82","GU010022","665"
"83","KA100008","665"
"84","KA110109","664"
"85","TC030019","664"
"86","NA030033","664"
"87","IB040027","664"
"88","KA110305","663"
"89","KA070017","663"
"90","SA130026","663"
"91","KA100020","663"
"92","CH040306","663"
"93","IB040538","662"
"94","CH040167","661"
"95","KA080125","661"
"96","TK050061","661"
"97","NA060042","661"
"98","SA050025","661"
"99","KA080046","660"
"100","KA100033","660"
"101","KA070304","659"
"102","KA070304","659"
"103","CH040659","659"
"104","IB010066","659"
"105","SA050024","659"
"106","KA070104","658"
"107","IB010057","657"
"108","KA010152","657"
"109","SA050022","657"
"110","SA050026","657"
"111","TC030050","657"
"112","IB070082","656"
"113","CH040209","656"
"114","SA050029","656"
"115","TC030012","655"
"116","SA050020","655"
"117","TC030049","655"
"118","TK040028","653"
"119","TK130024","653"
"120","KA110100","653"
"121","KA150153","652"
"122","IB050033","652"
"123","CH040003","652"
"124","KA120050","652"
"125","KA150142","651"
"126","CH030024","651"
"127","YA010004","651"
"128","CH040027","650"
"129","SA020039","650"
"130","CH040074","649"
"131","KA110170","649"
"132","KA070099","649"
"133","KA110284","648"
"134","KA100001","647"
"135","KA020035","647"
"136","NA010055","647"
"137","KA020032","646"
"138","KA160033","646"
"139","CH040289","646"
"140","KA110112","645"
"141","IB050063","645"
"142","KA080199","645"
"143","IB020035","645"
"144","NA030043","644"
"145","TK090004","644"
"146","GU010012","644"
"147","KA110277","643"
"148","TK060242","643"
"149","KA010278","643"
"150","CH040077","642"
"151","YA040025","642"
"152","TK040119","642"
"153","KA150034","642"
"154","TC030048","642"
"155","TK130154","642"
"156","YA040012","642"
"157","NA030046","641"
"158","YA040031","641"
"159","TK130129","641"
"160","TK060005","641"
"161","TK060093","641"
"162","IB080031","641"
"163","GU020240","641"
"164","KA110043","641"
"165","KA070277","640"
"166","IB040646","640"
"167","KA070154","640"
"168","IB010065","639"
"169","SA050023","638"
"170","NA060069","638"
"171","CH040381","638"
"172","CH040401","638"
"173","YA040005","637"
"174","KA070314","637"
"175","KA150067","637"
"176","TK130104","637"
