"順位","管理No","合計スコア"
"1","KA020046","765"
"2","KA020067","750"
"3","NA030031","745"
"4","KA110125","739"
"5","KA020073","729"
"6","KA070128","728"
"7","KA110071","727"
"8","KA120057","715"
"9","SA130004","714"
"10","IB080070","713"
"11","KA020024","712"
"12","GU020055","710"
"13","IB080001","706"
"14","IB070019","705"
"15","SA030001","705"
"16","KA010146","704"
"17","KA100019","702"
"18","SA130002","701"
"19","KA080068","700"
"20","CH040096","698"
"21","IB080040","698"
"22","SA050011","697"
"23","TC040018","696"
"24","CH040173","695"
"25","CH040218","695"
"26","CH010022","694"
"27","KA150025","692"
"28","KA020072","692"
"29","YA010015","692"
"30","TK130030","691"
"31","NA030049","691"
"32","CH040128","687"
"33","IB020024","687"
"34","CH040161","685"
"35","KA160049","685"
"36","IB040398","684"
"37","TK090003","683"
"38","IB100049","683"
"39","KA110187","681"
"40","IB010006","681"
"41","IB040018","680"
"42","TC030004","680"
"43","KA010051","679"
"44","TK090002","678"
"45","KA100004","677"
"46","KA100014","677"
"47","KA110139","676"
"48","CH040300","676"
"49","CH040145","676"
"50","KA110015","676"
"51","CH010037","674"
"52","CH010037","674"
"53","IB050006","673"
"54","IB050029","673"
"55","IB070037","672"
"56","CH010042","670"
"57","KA020041","670"
"58","KA080006","669"
"59","CH040166","669"
"60","GU050019","668"
"61","NA030045","666"
"62","GU010022","665"
"63","KA100008","665"
"64","KA110109","664"
"65","TC030019","664"
"66","NA030033","664"
"67","IB040027","664"
"68","KA070017","663"
"69","SA130026","663"
"70","CH040167","661"
"71","KA080125","661"
"72","TK050061","661"
"73","NA060042","661"
"74","KA080046","660"
"75","KA070104","658"
"76","KA010152","657"
"77","SA050022","657"
"78","CH040209","656"
"79","TC030012","655"
"80","SA050020","655"
"81","TC030049","655"
"82","TK040028","653"
"83","TK130024","653"
"84","KA110100","653"
"85","IB050033","652"
"86","CH040003","652"
"87","KA120050","652"
"88","KA150142","651"
"89","YA010004","651"
"90","CH040027","650"
"91","CH040074","649"
"92","KA110170","649"
"93","KA070099","649"
"94","KA100001","647"
"95","KA020035","647"
"96","KA020032","646"
"97","KA160033","646"
"98","KA110112","645"
"99","NA030022","644"
"100","TK090004","644"
"101","GU010012","644"
"102","TK060242","643"
"103","CH040077","642"
"104","YA040025","642"
"105","TK040119","642"
"106","KA150034","642"
"107","TC030048","642"
"108","YA040012","642"
"109","NA030046","641"
"110","TK060005","641"
"111","TK060093","641"
"112","IB080031","641"
"113","KA110043","641"
"114","KA070154","640"
"115","YA040005","637"
"116","KA150067","637"
"117","KA030008","636"
"118","KA110091","636"
"119","SA020009","635"
"120","KA150075","635"
"121","KA020002","635"
"122","IB080047","635"
"123","YA010046","634"
"124","YA040013","634"
"125","CH010053","634"
"126","KA070191","633"
"127","KA070193","632"
"128","IB050028","632"
"129","KA010127","632"
"130","KA120058","631"
"131","KA010138","631"
"132","KA150114","630"
"133","KA120052","630"
"134","KA160111","629"
"135","IB050010","629"
"136","SA020012","628"
"137","IB040093","628"
"138","YA040014","628"
"139","TC030020","628"
"140","CH040075","627"
"141","KA100010","627"
"142","IB050001","626"
"143","TK060004","626"
"144","KA010049","626"
"145","NA060040","626"
"146","GU020031","626"
"147","CH040165","626"
"148","TK050045","625"
"149","KA110203","624"
"150","CH040225","624"
"151","CH010020","624"
"152","KA080072","624"
"153","KA110147","624"
"154","YA010010","623"
"155","IB090015","623"
"156","KA010136","623"
"157","KA150112","622"
"158","KA020034","621"
"159","IB070050","620"
"160","SA090007","620"
"161","KA160110","620"
"162","CH040082","620"
"163","TK040018","620"
"164","KA070123","619"
"165","KA020026","619"
"166","KA020037","619"
"167","YA040002","618"
"168","IB070036","618"
"169","KA010060","618"
"170","CH010052","618"
"171","CH030014","618"
"172","CH040151","618"
"173","IB070015","618"
"174","KA110123","617"
"175","KA160112","617"
"176","KA100011","616"
"177","YA010023","615"
"178","NA030026","615"
"179","IB080009","615"
"180","CH040094","614"
"181","SA050002","614"
"182","GU020071","613"
"183","TK130037","613"
"184","TK050030","613"
"185","KA110189","613"
"186","TK040196","613"
"187","KA110192","612"
"188","KA100006","611"
"189","KA150107","610"
"190","KA010105","610"
"191","NA030038","610"
"192","SA050021","609"
"193","IB070017","609"
"194","KA120012","609"
"195","CH040126","609"
"196","KA160171","608"
"197","IB070061","608"
"198","TK130026","608"
"199","IB080018","608"
"200","KA160251","608"
"201","IB080039","607"
"202","KA080045","607"
"203","CH040090","607"
"204","KA110104","607"
"205","TC040004","607"
"206","TK130085","606"
"207","TK130043","606"
"208","KA150103","606"
"209","TK060090","606"
"210","NA060012","606"
"211","IB080005","606"
"212","IB010016","606"
"213","GU050014","606"
"214","IB020017","606"
"215","SA090013","606"
"216","KA010089","605"
"217","KA150020","605"
"218","IB070060","605"
"219","KA080074","604"
"220","GU010009","604"
"221","KA150035","603"
"222","KA070175","603"
"223","KA160040","603"
"224","TK040004","603"
"225","KA070068","603"
"226","IB040001","603"
"227","IB020016","602"
"228","GU010023","602"
"229","KA160150","602"
"230","KA110074","602"
"231","KA030013","602"
"232","KA020013","602"
"233","KA080049","601"
"234","CH010038","601"
"235","CH010044","601"
"236","KA110070","601"
"237","KA070075","601"
"238","CH010018","601"
"239","IB050031","601"
"240","KA070009","601"
"241","GU020070","600"
"242","KA160106","600"
"243","KA010107","599"
"244","CH010060","599"
"245","KA020061","599"
"246","YA010067","599"
"247","YA010007","599"
"248","SA050019","598"
"249","KA150151","598"
"250","CH010021","598"
"251","KA120051","598"
"252","SA090000","598"
"253","IB060059","598"
"254","CH040088","597"
"255","TK090001","597"
"256","KA160107","597"
"257","KA070002","597"
"258","KA150144","596"
"259","KA010171","596"
"260","YA040003","596"
"261","CH040158","596"
"262","TK130048","596"
"263","KA020074","596"
"264","IB050005","596"
"265","TC040014","596"
"266","TK040120","596"
"267","TC030018","596"
"268","KA070148","595"
"269","TK040184","595"
"270","IB040264","595"
"271","TC030021","595"
"272","IB040343","595"
"273","NA030054","594"
"274","GU010002","594"
"275","TK060257","594"
"276","IB040361","594"
"277","TC040012","594"
"278","CH040100","593"
"279","KA070011","593"
"280","IB010030","593"
"281","CH040162","593"
"282","IB100053","593"
"283","KA120046","593"
"284","CH010001","592"
"285","KA070089","592"
"286","GU020056","592"
"287","KA110200","592"
"288","NA060001","592"
"289","NA030034","592"
"290","GU050004","591"
"291","IB040099","591"
"292","CH040230","591"
"293","TK130040","591"
"294","YA010068","591"
"295","IB020018","591"
"296","SA020016","591"
"297","KA150124","591"
"298","IB020009","590"
"299","KA150072","590"
"300","KA080058","590"
"301","KA010116","590"
"302","NA030048","590"
"303","CH040107","589"
"304","TK130064","589"
"305","IB080041","589"
"306","IB050030","588"
"307","KA070014","588"
"308","TK060092","588"
"309","KA020040","587"
"310","GU010044","587"
"311","CH040006","587"
"312","KA150076","587"
"313","GU010041","587"
"314","KA120027","586"
"315","KA070069","586"
"316","KA150021","586"
"317","KA010007","586"
"318","IB070047","586"
"319","KA150064","586"
"320","KA150019","585"
"321","IB070051","585"
"322","KA010128","585"
"323","KA110138","585"
"324","IB070049","585"
"325","KA110069","585"
"326","CH040101","585"
"327","TK130076","585"
"328","IB050018","584"
"329","TK150013","584"
"330","KA110188","584"
"331","TC030037","584"
"332","KA020025","584"
"333","KA110185","584"
"334","TK050062","584"
"335","KA020054","583"
"336","IB050032","583"
"337","KA110124","583"
"338","YA010006","583"
"339","CH010054","582"
"340","SA090004","582"
"341","TK060205","582"
"342","NA060019","582"
"343","SA050001","582"
"344","IB010014","582"
"345","CH040123","581"
"346","IB100022","581"
"347","CH040016","581"
"348","CH010066","581"
"349","YA010026","581"
"350","SA090010","581"
"351","KA160174","581"
"352","IB040035","581"
"353","KA070114","581"
"354","GU020067","580"
"355","KA010151","580"
"356","KA070173","580"
"357","YA010029","580"
"358","IB090010","580"
"359","KA110059","579"
"360","KA020051","579"
"361","TK040137","579"
"362","NA010037","579"
"363","KA110163","579"
"364","KA080001","579"
"365","KA080087","579"
"366","GU010016","579"
"367","KA120054","579"
"368","CH020032","578"
"369","TK060091","578"
"370","IB020012","578"
"371","KA150139","578"
"372","IB010037","577"
"373","CH040055","577"
"374","KA070178","577"
"375","TK130063","577"
"376","KA010013","577"
"377","YA040001","577"
"378","KA080073","577"
"379","TC030002","577"
"380","IB040026","577"
"381","KA150055","576"
"382","TK060207","576"
"383","IB0732石橋","576"
"384","NA010007","576"
"385","KA080065","576"
"386","KA020004","576"
"387","YA010024","575"
"388","KA020019","575"
"389","IB040162","575"
"390","YA010070","574"
"391","KA160140","574"
"392","IB040262","574"
"393","GU020023","574"
"394","KA080060","573"
"395","KA010101","573"
"396","IB020023","573"
"397","TK130053","572"
"398","NA060029","572"
"399","IB070018","572"
"400","KA010306","572"
"401","TK060320","572"
"402","KA160041","572"
"403","IB050019","571"
"404","TK150014","571"
"405","SA130022","571"
"406","TK090008","571"
"407","IB010031","571"
"408","KA110167","570"
"409","KA180053","570"
"410","CH040050","570"
"411","TK090009","570"
"412","IB010011","570"
"413","IB050023","570"
"414","NA010009","570"
"415","IB070065","570"
"416","IB070034","570"
"417","KA020023","570"
"418","GU030008","570"
"419","KA070097","569"
"420","KA110023","569"
"421","KA010064","569"
"422","KA110184","568"
"423","TK060000","568"
"424","YA040004","568"
"425","KA070141","568"
"426","GU030095","568"
"427","CH040022","567"
"428","CH040198","567"
"429","GU010001","567"
"430","KA150054","567"
"431","TK150012","567"
"432","KA020008","567"
"433","CH040021","567"
"434","IB070052","567"
"435","TC040006","567"
"436","IB040289","567"
"437","KA110152","567"
"438","SA020002","567"
"439","TK090005","566"
"440","CH040229","566"
"441","KA020053","566"
"442","NA060023","565"
"443","KA160165","565"
"444","KA070171","565"
"445","IB080020","565"
"446","TK060176","565"
"447","YA010030","565"
"448","GU030106","565"
"449","NA060028","565"
"450","KA160153","565"
"451","KA080057","564"
